"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Gr.",""
"2",2011,NA,"Adderly Str.",""
"3",2011,NA,"Alcester Raod Mosley",""
"4",2011,NA,"Alcester Rd.",""
"5",2011,NA,"Alcester Rd. Moseley",""
"6",2011,NA,"Alcester Rd. Moseley",""
"7",2011,NA,"Alfred Str.",""
"8",2011,NA,"All Service Club Mosley",""
"9",2011,NA,"Alum Rock Rd.",""
"10",2011,NA,"Alum Rock Rd.",""
"11",2011,NA,"Alum Rock Rd.",""
"12",2011,NA,"Alum Rock Rd.",""
"13",2011,NA,"Arcadian Centre",""
"14",2011,NA,"Arden Rd. Saltley",""
"15",2011,NA,"Asda Chemsley Wood",""
"16",2011,NA,"Balsahll Heath Pk. J W Brighton Rd.",""
"17",2011,NA,"Bamford Rd.",""
"18",2011,NA,"Bamford Rd.",""
"19",2011,NA,"BeechBrook Ave. Sparkhill",""
"20",2011,NA,"Belchers Lan.",""
"21",2011,NA,"Belchers Lan.",""
"22",2011,NA,"Belchers Lan.",""
"23",2011,NA,"Belchers Lan. Bordesley Gr.",""
"24",2011,NA,"Bell Str.",""
"25",2011,NA,"Berkley Rd East Haymills",""
"26",2011,NA,"Birmingham Airport",""
"27",2011,NA,"Birmingham International Railway Station",""
"28",2011,NA,"Bordesley Gr.",""
"29",2011,NA,"Bordesley Gr. Bordesley Gr.",""
"30",2011,NA,"Bristol Rd.",""
"31",2011,NA,"Bristol Str.",""
"32",2011,NA,"Broad Str.",""
"33",2011,NA,"Broad Str.",""
"34",2011,NA,"Broad Str. Birmingham",""
"35",2011,NA,"Buckland End Lan. Shard End",""
"36",2011,NA,"Bulls Head PH St Marys Row",""
"37",2011,NA,"Bushbury Rd. Kitts Gr.",""
"38",2011,NA,"Chartice Rd.",""
"39",2011,NA,"Chestnut Rd.",""
"40",2011,NA,"Church Rd Stechford",""
"41",2011,NA,"Church Rd. Sheldon",""
"42",2011,NA,"Clifford RD Dorridge",""
"43",2011,NA,"Clock Lan.",""
"44",2011,NA,"Colonial Rd. Bordesley Gr.",""
"45",2011,NA,"Corporation St Birmingham",""
"46",2011,NA,"Corporation Str.",""
"47",2011,NA,"Coventry Rd Small Heath",""
"48",2011,NA,"COVENTRY RD SMALL HEATH BHAM",""
"49",2011,NA,"Coventry Rd.",""
"50",2011,NA,"Coventry Rd.",""
"51",2011,NA,"Coventry Rd.",""
"52",2011,NA,"Coventry Rd.",""
"53",2011,NA,"Coventry Rd.",""
"54",2011,NA,"Coventry Rd. Small Heath",""
"55",2011,NA,"Coventry Rd. Small Heath",""
"56",2011,NA,"Coventry Rd. Small Heath",""
"57",2011,NA,"Cranes Pk. Rd.",""
"58",2011,NA,"Cranes Pk. Rd. Sheldon",""
"59",2011,NA,"Crossfield Rd.",""
"60",2011,NA,"Crossfields Rd. Kitts Gr.",""
"61",2011,NA,"Cxhurch Rd Stechford Bham",""
"62",2011,NA,"Digbeth High Str.",""
"63",2011,NA,"Edgbaston Rd.",""
"64",2011,NA,"Edward Rd. Moseley",""
"65",2011,NA,"Fighting Cox PH",""
"66",2011,NA,"Foremans Rd. Sparkhill",""
"67",2011,NA,"Front Office Kings Heath",""
"68",2011,NA,"Garretts Gr. Rd. Garretts Gr.",""
"69",2011,NA,"Giles Close",""
"70",2011,NA,"GILES CLOSE STECHFORD",""
"71",2011,NA,"Glazedale Rd.",""
"72",2011,NA,"Gospel Farm Rd.",""
"73",2011,NA,"Gospel Farm Rd.",""
"74",2011,NA,"Gospel Lan.",""
"75",2011,NA,"Gospel Lan.",""
"76",2011,NA,"Gospel Lan.",""
"77",2011,NA,"Gospel Lan. Acocks Gr.",""
"78",2011,NA,"Grace Church Sutton Coldfield",""
"79",2011,NA,"Great Hampton Str.",""
"80",2011,NA,"Gr. Lan.",""
"81",2011,NA,"Greswell Lan. Shard End",""
"82",2011,NA,"Harlequin Dr. Mosley",""
"83",2011,NA,"Haslucks Gr. Rd.",""
"84",2011,NA,"Hazeldean Rd.",""
"85",2011,NA,"Heartlands Hosp.",""
"86",2011,NA,"Heartlands Hosp.",""
"87",2011,NA,"Heartlands Hosp. A E",""
"88",2011,NA,"Heartlands Hosp. A E",""
"89",2011,NA,"Heartlands Hosp. A E",""
"90",2011,NA,"Hepben Grove",""
"91",2011,NA,"Herrick Rd.",""
"92",2011,NA,"Herrick Rd. Washwood Heath",""
"93",2011,NA,"Herrick Rd. Washwood Heath",""
"94",2011,NA,"High St Solihull",""
"95",2011,NA,"HIGH STREET KINGS HEATH",""
"96",2011,NA,"High Str. Kings Heath",""
"97",2011,NA,"High Str. Kings Heath",""
"98",2011,NA,"Hob Moor Rd. At Starbank Rd.",""
"99",2011,NA,"Holloway Head Bham City Centre",""
"100",2011,NA,"Hollywell Rd.",""
"101",2011,NA,"Home Address",""
"102",2011,NA,"Home Address",""
"103",2011,NA,"Homer Str.",""
"104",2011,NA,"Hunters Moon Public House",""
"105",2011,NA,"Hurst Str.",""
"106",2011,NA,"Hurst Str.",""
"107",2011,NA,"Hurst Str.",""
"108",2011,NA,"Hurst Str. Birmingham",""
"109",2011,NA,"Kings Heath High Str.",""
"110",2011,NA,"KNOWLE RD SMALL HEATH BHAM",""
"111",2011,NA,"Ladypool Rd.",""
"112",2011,NA,"Ladypool Rd.",""
"113",2011,NA,"Ladywell Walk",""
"114",2011,NA,"Lea Hall RD",""
"115",2011,NA,"Lea Hall Rd",""
"116",2011,NA,"Lea Vil. Stechford",""
"117",2011,NA,"Lenches Close Mosley",""
